ear,mar,pitch_dev,label
0.052,0.0,0.0,EYE_CLOSED
0.0634,0.0,0.0,EYE_CLOSED
0.0579,0.0,0.0,EYE_CLOSED
0.0595,0.0,0.0,EYE_CLOSED
0.0636,0.0,0.0,EYE_CLOSED
0.0518,0.0,0.0,EYE_CLOSED
0.0573,0.0,0.0,EYE_CLOSED
0.0588,0.0,0.0,EYE_CLOSED
0.0486,0.0,0.0,EYE_CLOSED
0.052,0.0,0.0,EYE_CLOSED
0.0582,0.0,0.0,EYE_CLOSED
0.062,0.0,0.0,EYE_CLOSED
0.0588,0.0,0.0,EYE_CLOSED
0.0579,0.0,0.0,EYE_CLOSED
0.0518,0.0,0.0,EYE_CLOSED
0.0533,0.0,0.0,EYE_CLOSED
0.046,0.0,0.0,EYE_CLOSED
0.0615,0.0,0.0,EYE_CLOSED
0.0721,0.0,0.0,EYE_CLOSED
0.0688,0.0,0.0,EYE_CLOSED
0.0688,0.0,0.0,EYE_CLOSED
0.0668,0.0,0.0,EYE_CLOSED
0.062,0.0,0.0,EYE_CLOSED
0.0573,0.0,0.0,EYE_CLOSED
0.062,0.0,0.0,EYE_CLOSED
0.0697,0.0,0.0,EYE_CLOSED
0.0694,0.0,0.0,EYE_CLOSED
0.0684,0.0,0.0,EYE_CLOSED
0.0877,0.0,0.0,EYE_CLOSED
0.0797,0.0149,0.0,EYE_CLOSED
0.0717,0.0,0.0,EYE_CLOSED
0.0696,0.0,0.0,EYE_CLOSED
0.0861,0.0147,0.0,EYE_CLOSED
0.0692,0.0147,0.0,EYE_CLOSED
0.0799,0.0,0.0,EYE_CLOSED
0.0859,0.0,0.0,EYE_CLOSED
0.0809,0.0147,0.0,EYE_CLOSED
0.0896,0.0,0.0,EYE_CLOSED
0.08,0.0,0.0,EYE_CLOSED
0.0747,0.0147,0.0,EYE_CLOSED
0.0718,0.0,0.0,EYE_CLOSED
0.0572,0.0,0.0,EYE_CLOSED
0.0658,0.0149,0.0,EYE_CLOSED
0.0633,0.0,0.0,EYE_CLOSED
0.0581,0.0,0.0,EYE_CLOSED
0.067,0.0,0.0,EYE_CLOSED
0.0647,0.0,0.0,EYE_CLOSED
0.0687,0.0149,0.0,EYE_CLOSED
0.0582,0.0,0.0,EYE_CLOSED
0.0628,0.0,0.0,EYE_CLOSED
0.0738,0.0,0.0,EYE_CLOSED
0.0676,0.0,0.0,EYE_CLOSED
0.0668,0.0,0.0,EYE_CLOSED
0.0576,0.0,0.0,EYE_CLOSED
0.0688,0.0149,0.0,EYE_CLOSED
0.0773,0.0149,0.0,EYE_CLOSED
0.0728,0.0,0.0,EYE_CLOSED
0.0688,0.0,0.0,EYE_CLOSED
0.058,0.0149,0.0,EYE_CLOSED
0.0643,0.0,0.0,EYE_CLOSED
0.063,0.0,0.0,EYE_CLOSED
0.0591,0.0,0.0,EYE_CLOSED
0.0676,0.0,0.0,EYE_CLOSED
0.0725,0.0147,0.0,EYE_CLOSED
0.0673,0.0145,0.0,EYE_CLOSED
0.0634,0.0147,0.0,EYE_CLOSED
0.061,0.0,0.0,EYE_CLOSED
0.0628,0.0149,0.0,EYE_CLOSED
0.0627,0.0,0.0,EYE_CLOSED
0.0727,0.0,0.0,EYE_CLOSED
0.0729,0.0149,0.0,EYE_CLOSED
0.0874,0.0,0.0,EYE_CLOSED
0.071,0.0,0.0,EYE_CLOSED
0.0725,0.0151,0.0,EYE_CLOSED
0.0727,0.0149,0.0,EYE_CLOSED
0.0979,0.0,0.0,EYE_CLOSED
0.0776,0.0147,0.0,EYE_CLOSED
0.0707,0.0,0.0,EYE_CLOSED
0.0789,0.0149,0.0,EYE_CLOSED
0.0602,0.0,0.0,EYE_CLOSED
0.0632,0.0,0.0,EYE_CLOSED
0.0595,0.0147,0.0,EYE_CLOSED
0.0535,0.0149,0.0,EYE_CLOSED
0.0694,0.0149,0.0,EYE_CLOSED
0.0564,0.0,0.0,EYE_CLOSED
0.0572,0.0,0.0,EYE_CLOSED
0.0579,0.0,0.0,EYE_CLOSED
0.0707,0.0,0.0,EYE_CLOSED
0.0706,0.0,0.0,EYE_CLOSED
0.058,0.0,0.0,EYE_CLOSED
0.0692,0.0,0.0,EYE_CLOSED
0.0697,0.0151,0.0,EYE_CLOSED
0.0798,0.0,0.0,EYE_CLOSED
0.0576,0.0,0.0,EYE_CLOSED
0.0669,0.0,0.0,EYE_CLOSED
0.0925,0.0,0.0,EYE_CLOSED
0.0847,0.0,0.0,EYE_CLOSED
0.0733,0.0,0.0,EYE_CLOSED
0.0573,0.0151,0.0,EYE_CLOSED
0.0801,0.0,0.0,EYE_CLOSED
0.074,0.0,0.0,EYE_CLOSED
0.0693,0.0,0.0,EYE_CLOSED
0.0706,0.0,0.0,EYE_CLOSED
0.0668,0.0,0.0,EYE_CLOSED
0.0706,0.0,0.0,EYE_CLOSED
0.0777,0.0,0.0,EYE_CLOSED
0.0827,0.0,0.0,EYE_CLOSED
0.0633,0.0,0.0,EYE_CLOSED
0.0517,0.0,0.0,EYE_CLOSED
0.0548,0.0149,0.0,EYE_CLOSED
0.0631,0.0,0.0,EYE_CLOSED
0.0715,0.0151,0.0,EYE_CLOSED
0.0851,0.0,0.0,EYE_CLOSED
0.0802,0.0149,0.0,EYE_CLOSED
0.0728,0.0149,0.0,EYE_CLOSED
0.0675,0.0149,0.0,EYE_CLOSED
0.058,0.0,0.0,EYE_CLOSED
0.0697,0.0,0.0,EYE_CLOSED
0.0675,0.0,0.0,EYE_CLOSED
0.069,0.0,0.0,EYE_CLOSED
0.0688,0.0149,0.0,EYE_CLOSED
0.0733,0.0,0.0,EYE_CLOSED
0.0625,0.0,0.0,EYE_CLOSED
0.0936,0.0149,0.0,EYE_CLOSED
0.0747,0.0147,0.0,EYE_CLOSED
0.0733,0.0211,0.0,EYE_CLOSED
0.0679,0.0,0.0,EYE_CLOSED
0.0796,0.0,0.0,EYE_CLOSED
0.0873,0.0149,0.0,EYE_CLOSED
0.0749,0.0151,0.0,EYE_CLOSED
0.0795,0.0,0.0,EYE_CLOSED
0.0625,0.0,0.0,EYE_CLOSED
0.0743,0.0,0.0,EYE_CLOSED
0.0854,0.0,0.0,EYE_CLOSED
0.088,0.0,0.0,EYE_CLOSED
0.1073,0.0,0.0,EYE_CLOSED
0.0978,0.0151,0.0,EYE_CLOSED
0.0819,0.0147,0.0,EYE_CLOSED
0.0692,0.0,0.0,EYE_CLOSED
0.0678,0.0,0.0,EYE_CLOSED
0.0611,0.0149,0.0,EYE_CLOSED
0.0737,0.0149,0.0,EYE_CLOSED
0.0642,0.0,0.0,EYE_CLOSED
0.0775,0.0,0.0,EYE_CLOSED
0.0642,0.0,0.0,EYE_CLOSED
0.0704,0.0,0.0,EYE_CLOSED
0.0642,0.0,0.0,EYE_CLOSED
0.0686,0.0,0.0,EYE_CLOSED
0.0821,0.0,0.0,EYE_CLOSED
0.0832,0.0,0.0,EYE_CLOSED
0.0921,0.0147,0.0,EYE_CLOSED
0.0756,0.0,0.0,EYE_CLOSED
0.0705,0.0,0.0,EYE_CLOSED
0.0873,0.0,0.0,EYE_CLOSED
0.0811,0.0,0.0,EYE_CLOSED
0.0975,0.0,0.0,EYE_CLOSED
0.102,0.0149,0.0,EYE_CLOSED
0.1043,0.0151,0.0,EYE_CLOSED
0.0974,0.0149,0.0,EYE_CLOSED
0.1071,0.0,0.0,EYE_CLOSED
0.0821,0.0152,0.0,EYE_CLOSED
0.0983,0.0,0.0,EYE_CLOSED
0.1064,0.0151,0.0,EYE_CLOSED
0.0935,0.0,0.0,EYE_CLOSED
0.0976,0.0,0.0,EYE_CLOSED
0.1041,0.0,0.0,EYE_CLOSED
0.0746,0.0,0.0,EYE_CLOSED
0.0852,0.0,0.0,EYE_CLOSED
0.0699,0.0152,0.0,EYE_CLOSED
0.0686,0.0,0.0,EYE_CLOSED
0.0836,0.0149,0.0,EYE_CLOSED
0.0964,0.0149,0.0,EYE_CLOSED
0.09,0.0,0.0,EYE_CLOSED
0.0839,0.0,0.0,EYE_CLOSED
0.0999,0.0149,0.0,EYE_CLOSED
0.1043,0.0147,0.0,EYE_CLOSED
0.0892,0.0,0.0,EYE_CLOSED
0.0986,0.0,0.0,EYE_CLOSED
0.1117,0.0,0.0,EYE_CLOSED
0.0931,0.0,0.0,EYE_CLOSED
0.0893,0.0,0.0,EYE_CLOSED
0.1053,0.0147,0.0,EYE_CLOSED
0.0933,0.0147,0.0,EYE_CLOSED
0.1006,0.0,0.0,EYE_CLOSED
0.1034,0.0,0.0,EYE_CLOSED
0.0885,0.0,0.0,EYE_CLOSED
0.1226,0.0147,0.0,EYE_CLOSED
0.1251,0.0,0.0,EYE_CLOSED
0.111,0.0,0.0,EYE_CLOSED
0.1424,0.0,0.0,EYE_CLOSED
0.1058,0.0,0.0,EYE_CLOSED
0.0958,0.0,0.0,EYE_CLOSED
0.1292,0.0,0.0,EYE_CLOSED
0.1004,0.0,0.0,EYE_CLOSED
0.0847,0.0,0.0,EYE_CLOSED
0.0833,0.0,0.0,EYE_CLOSED
0.0818,0.0,0.0,EYE_CLOSED
0.0906,0.0,0.0,EYE_CLOSED
0.0999,0.0,0.0,EYE_CLOSED
0.0736,0.0,0.0,EYE_CLOSED
0.0897,0.0,0.0,EYE_CLOSED
0.0669,0.0,0.0,EYE_CLOSED
0.0832,0.0,0.0,EYE_CLOSED
0.0872,0.0,0.0,EYE_CLOSED
0.0832,0.0,0.0,EYE_CLOSED
0.0809,0.0,0.0,EYE_CLOSED
0.0938,0.0,0.0,EYE_CLOSED
0.1053,0.0149,0.0,EYE_CLOSED
0.0863,0.0,0.0,EYE_CLOSED
0.0809,0.0,0.0,EYE_CLOSED
0.0676,0.0,0.0,EYE_CLOSED
0.0809,0.0,0.0,EYE_CLOSED
0.0972,0.0,0.0,EYE_CLOSED
0.0888,0.0,0.0,EYE_CLOSED
0.1087,0.0,0.0,EYE_CLOSED
0.0908,0.0,0.0,EYE_CLOSED
0.095,0.0,0.0,EYE_CLOSED
0.0989,0.0151,0.0,EYE_CLOSED
0.1126,0.0,0.0,EYE_CLOSED
0.1139,0.0,0.0,EYE_CLOSED
0.1088,0.0,0.0,EYE_CLOSED
0.1043,0.0152,0.0,EYE_CLOSED
0.0935,0.0,0.0,EYE_CLOSED
0.0939,0.0149,0.0,EYE_CLOSED
0.0872,0.0,0.0,EYE_CLOSED
0.0938,0.0,0.0,EYE_CLOSED
0.0935,0.0151,0.0,EYE_CLOSED
0.0819,0.0,0.0,EYE_CLOSED
